MUNICIPIO REPORTE,Fecha,Casos_Dengue,Lluvia_mm,Poblacion
EL PAUJIL,2020-09-01,0,105.9,20528
EL PAUJIL,2020-10-01,1,280.1,20528
EL PAUJIL,2020-11-01,0,323.7,20528
EL PAUJIL,2020-12-01,0,77.9,20528
EL PAUJIL,2021-01-01,0,135.8,20528
EL PAUJIL,2021-02-01,0,176.0,20528
EL PAUJIL,2021-03-01,2,281.2,20528
EL PAUJIL,2021-04-01,1,363.5,20528
EL PAUJIL,2021-05-01,1,526.4,20528
EL PAUJIL,2021-06-01,1,437.9,20528
EL PAUJIL,2021-07-01,1,413.2,20528
EL PAUJIL,2021-08-01,1,266.8,20528
EL PAUJIL,2021-09-01,1,260.0,20528
EL PAUJIL,2021-10-01,0,276.0,20528
EL PAUJIL,2021-11-01,0,135.9,20528
EL PAUJIL,2021-12-01,0,4.1,20528
EL PAUJIL,2022-01-01,1,61.5,20528
EL PAUJIL,2022-02-01,7,213.8,20528
EL PAUJIL,2022-03-01,19,357.7,20528
EL PAUJIL,2022-04-01,18,330.2,20528
EL PAUJIL,2022-05-01,7,436.3,20528
EL PAUJIL,2022-06-01,8,489.2,20528
EL PAUJIL,2022-07-01,1,246.2,20528
EL PAUJIL,2022-08-01,1,345.7,20528
EL PAUJIL,2022-09-01,0,333.2,20528
EL PAUJIL,2022-10-01,3,188.4,20528
EL PAUJIL,2022-11-01,4,145.8,20528
EL PAUJIL,2022-12-01,2,27.9,20528
EL PAUJIL,2023-01-01,4,102.6,20528
EL PAUJIL,2023-02-01,11,220.9,20528
EL PAUJIL,2023-03-01,5,195.7,20528
EL PAUJIL,2023-04-01,1,353.4,20528
EL PAUJIL,2023-05-01,1,329.0,20528
EL PAUJIL,2023-06-01,3,384.8,20528
EL PAUJIL,2023-07-01,0,318.9,20528
EL PAUJIL,2023-08-01,0,147.2,20528
EL PAUJIL,2023-09-01,0,234.4,20528
EL PAUJIL,2023-10-01,0,161.0,20528
EL PAUJIL,2023-11-01,4,170.6,20528
EL PAUJIL,2023-12-01,0,144.5,20528
SOLANO,2018-01-01,0,283.6714285714286,24131
SOLANO,2018-02-01,0,151.01904761904763,24131
SOLANO,2018-03-01,0,314.42083333333335,24131
SOLANO,2018-04-01,1,401.4666666666667,24131
SOLANO,2018-05-01,0,523.9333333333333,24131
SOLANO,2018-06-01,0,379.26666666666665,24131
SOLANO,2018-07-01,1,410.0,24131
SOLANO,2018-08-01,0,261.23333333333335,24131
SOLANO,2018-09-01,0,320.46666666666664,24131
SOLANO,2018-10-01,1,295.06666666666666,24131
SOLANO,2018-11-01,2,281.3,24131
SOLANO,2018-12-01,0,233.36666666666667,24131
SOLANO,2019-01-01,0,337.8333333333333,24131
SOLANO,2019-02-01,2,345.8,24131
SOLANO,2019-03-01,0,333.8,24131
SOLANO,2019-04-01,1,234.33333333333334,24131
SOLANO,2019-05-01,1,395.0,24131
SOLANO,2019-06-01,0,462.5333333333333,24131
SOLANO,2019-07-01,0,260.40000000000003,24131
SOLANO,2019-08-01,2,193.9,24131
SOLANO,2019-09-01,0,298.2,24131
SOLANO,2019-10-01,0,291.5,24131
SOLANO,2019-11-01,2,277.09999999999997,24131
SOLANO,2019-12-01,0,287.1333333333333,24131
SOLANO,2020-01-01,3,181.1,24131
SOLANO,2020-02-01,1,212.7777777777778,24131
SOLANO,2020-03-01,0,255.72222222222226,24131
SOLANO,2020-04-01,5,331.1666666666667,24131
SOLANO,2020-05-01,1,456.8333333333333,24131
SOLANO,2020-06-01,2,381.0333333333333,24131
SOLANO,2020-07-01,0,441.43333333333334,24131
SOLANO,2020-08-01,0,299.7,24131
SOLANO,2020-09-01,1,385.43333333333334,24131
SOLANO,2020-10-01,0,309.06666666666666,24131
SOLANO,2020-11-01,0,397.1666666666667,24131
SOLANO,2020-12-01,0,233.73333333333335,24131
SOLANO,2021-01-01,0,181.63333333333333,24131
SOLANO,2021-02-01,0,150.93333333333334,24131
SOLANO,2021-03-01,0,363.40000000000003,24131
SOLANO,2021-04-01,0,379.93333333333334,24131
